parcel_ref,bienes_superficie,bienes_sin_v,bienes_fantasma,m2_recuperados,m2_fantasma
9839505VK3793H,0,0,1,0,871
9435704VK3793E,1,0,0,17,0
9538305VK3793H,1,0,0,167,0
9636403VK3793F,1,0,0,89,0
9849424VK3794H,1,0,0,55,0
9849431VK3794H,1,0,0,36,0
9851201VK3795B,1,0,0,556,0
0041309VK4704A,1,0,0,56,0
0049801VK4704G,1,0,0,465,0
9735905VK3793F,0,0,1,0,52
9735916VK3793F,1,0,0,918,0
9736305VK3793F,1,0,0,43,0
9736608VK3793F,1,0,0,142,0
9939807VK3793H,1,0,0,702,0
9939815VK3793H,1,0,0,519,0
9737611VK3793F,1,0,0,57,0
9740308VK3794B,1,0,0,136,0
9743901VK3794D,0,0,1,0,112
9744902VK3794D,1,0,0,194,0
9745910VK3794F,1,0,0,304,0
9747712VK3794F,1,0,0,809,0
9949320VK3794B,1,0,0,261,0
9949506VK3794H,1,0,0,116,0
9949324VK3794B,1,0,0,146,0
9345903VK3794C,0,0,1,0,460
0340418VK4704A,0,0,1,0,2729
1037604VK4713E,1,0,0,150,0
0236510VK4703E,0,1,0,9,0
9934606VK3793D,1,0,0,227,0
0037804VK4703E,1,0,0,121,0
0037110VK4703E,1,0,0,424,0
0735202VK4703F,1,0,0,12,0
0737207VK4803E,1,0,0,4,0
0437806VK4703E,1,0,0,21,0
0437820VK4703E,1,0,0,28,0
0737212VK4803E,1,0,0,4,0
0737215VK4803E,1,0,0,4,0
0737217VK4703H,1,0,0,73,0
0738306VK4703H,1,0,0,39,0
0135624VK4703E,1,0,0,90,0
0632410VK4703D,1,0,0,218,0
0935412VK4703F,1,0,0,32,0
0136718VK4703E,1,0,0,149,0
0139417VK4703G,1,0,0,407,0
0140402VK4704A,1,0,0,81,0
0636304VK4703F,1,0,0,161,0
0638121VK4703H,1,0,0,28,0
0640805VK4704B,1,0,0,226,0
0640810VK4704B,1,0,0,110,0
0640816VK4704B,1,0,0,134,0
0640818VK4704B,1,0,0,330,0
0434807VK4703C,1,0,0,80,0
0538817VK4703H,1,0,0,46,0
0843906VK4704D,1,0,0,584,0
0542503VK4704D,1,0,0,121,0
1137501VK4713G,1,0,0,137,0
1139205VK4713G,2,0,0,85,0
1141403VK4714A,1,0,0,1080,0
0742709VK4704B,1,0,0,174,0
0743613VK4704D,1,0,0,55,0
0743823VK4704D,1,0,0,413,0
0940606VK4704B,1,0,0,30,0
1039805VK4713G,1,0,0,40,0
1255801VK4715E,1,0,0,342,0
1255802VK4715E,1,0,0,537,0
1350201VK4715A,1,0,0,909,0
0953503VK4705D,1,0,0,46,0
0956205VK4705F,1,0,0,34,0
0648301VK4704H,1,0,0,173,0
0653607VK4705D,1,0,0,228,0
1047208VK4714G,1,0,0,233,0
1049213VK4714G,1,0,0,705,0
1051807VK4715A,1,0,0,1001,0
1051808VK4715A,1,0,0,710,0
1053207VK4715C,1,0,0,127,0
1055703VK4715E,1,0,0,372,0
1055706VK4715E,1,0,0,204,0
0850113VK4705B,1,0,0,180,0
0850702VK4705B,1,0,0,64,0
0850712VK4705B,1,0,0,49,0
0853215VK4705D,0,0,1,0,67
1150908VK4715A,1,0,0,1711,0
1151803VK4715A,1,0,0,585,0
